@relation iots-weka.filters.unsupervised.instance.RemoveWithValues-S100.0-C11-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S100.0-C12-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R10-14

@attribute decision {0,1}
@attribute comfort numeric
@attribute useful numeric
@attribute risk numeric
@attribute appropriate numeric
@attribute expected numeric
@attribute default numeric
@attribute framing numeric
@attribute ask.reason numeric
@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute collectionf {remrecoshr,remshr,remserv,remoptishr,reminsi,remreco,locopti,reminsishr,locinsi,remopti,locally,locreco}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}

@data
0,1,1,1,1,0,2,0,0,refr,opauto,locinsi,coassis,locally,insight
0,0,-2,2,0,-1,2,0,1,hvac,alert,locreco,cotv,locally,reco
0,0,-1,0,0,-2,2,0,0,wash,lochouse,remopti,coalarm,remserv,opti
0,-2,-2,-2,-2,-2,2,0,1,secu,alert,reminsishr,cosecu,share,insight
0,-3,-2,-3,-3,-2,2,0,0,hvac,lochouse,remshr,cohvac,share,nothing
1,1,1,2,2,1,2,0,0,secu,lochouse,locopti,colight,locally,opti
1,1,1,1,1,2,2,0,1,assis,alert,remreco,cam,remserv,reco
0,-3,-3,-3,-3,-2,2,0,0,refr,preshouse,remrecoshr,corefri,share,reco
0,0,0,0,0,1,2,0,0,tv,preshouse,remserv,micro,remserv,nothing
0,-2,-1,-2,-2,-1,2,0,0,alarm,opauto,remoptishr,watch,share,opti
1,2,2,1,2,2,2,0,0,light,opauto,reminsi,locsens,remserv,insight
0,-3,0,-3,-3,-3,0,1,0,secu,opauto,remserv,coassis,remserv,nothing
0,-3,0,-1,-3,-3,0,1,0,tv,preshouse,reminsi,cowash,remserv,insight
0,-3,-3,-3,-3,-3,0,1,0,light,alert,remshr,cam,share,nothing
1,3,3,3,3,1,0,1,1,refr,opauto,locally,micro,locally,nothing
0,-3,0,-3,-3,-2,0,1,0,refr,preshouse,remoptishr,cotv,share,opti
0,-3,-1,-1,-3,-3,0,1,1,light,lochouse,locreco,corefri,locally,reco
0,-3,-3,-3,-3,-3,0,1,0,wash,opauto,remrecoshr,locsens,share,reco
1,1,1,1,1,1,0,1,1,alarm,lochouse,remreco,colight,remserv,reco
0,-3,-3,-3,-3,-3,0,1,1,hvac,lochouse,reminsishr,coalarm,share,insight
1,-3,3,3,3,1,0,1,0,hvac,alert,locopti,watch,locally,opti
1,3,3,3,3,3,0,1,0,wash,preshouse,locinsi,cosecu,locally,insight
1,3,3,3,3,3,0,1,0,assis,alert,remopti,cohvac,remserv,opti
0,-3,1,-3,-3,-1,0,0,0,light,lochouse,remopti,corefri,remserv,opti
0,-3,0,-3,-3,-1,0,0,0,refr,alert,reminsishr,cotv,share,insight
0,-1,-2,0,-2,-3,0,0,1,assis,opauto,reminsi,cohvac,remserv,insight
0,-3,2,-2,2,1,0,0,0,tv,alert,remreco,cowash,remserv,reco
0,-3,0,-3,-3,-2,0,0,1,secu,opauto,remoptishr,coassis,share,opti
0,-1,1,-2,-2,1,0,0,0,secu,preshouse,locally,cam,locally,nothing
0,-3,1,-3,-3,1,0,0,1,hvac,opauto,locinsi,watch,locally,insight
0,-3,-3,-3,-3,-3,0,0,1,wash,lochouse,remshr,locsens,share,nothing
0,-2,2,-2,-2,-3,0,0,0,alarm,preshouse,remserv,colight,remserv,nothing
0,-3,2,-3,-3,-3,0,0,0,hvac,preshouse,remrecoshr,coalarm,share,reco
0,-2,1,-3,-2,-1,0,0,0,wash,alert,locreco,cosecu,locally,reco
0,-3,-3,-3,-3,-3,0,0,0,refr,lochouse,locopti,micro,locally,opti
1,1,0,1,0,1,1,0,1,light,opauto,locinsi,locsens,locally,insight
0,0,0,0,1,0,1,0,0,refr,preshouse,remserv,corefri,remserv,nothing
1,1,1,2,1,1,1,0,0,light,preshouse,remrecoshr,colight,share,reco
1,0,1,1,1,0,1,0,0,tv,lochouse,remopti,micro,remserv,opti
1,0,1,1,-1,-1,1,0,0,hvac,preshouse,locally,cotv,locally,nothing
