@relation 'Framing0-weka.filters.unsupervised.attribute.Remove-R1-4,6-17-weka.filters.unsupervised.attribute.Reorder-R2-7,1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
hvac,preshouse,micro,locally,nothing,1
tv,lochouse,cohvac,remserv,opti,0
assis,alert,corefri,locally,reco,1
alarm,opauto,cowash,remserv,insight,0
refr,preshouse,coassis,remserv,nothing,0
wash,alert,coalarm,share,insight,0
secu,alert,colight,remserv,reco,0
hvac,lochouse,cotv,locally,opti,1
assis,lochouse,cam,remserv,opti,0
light,lochouse,colight,share,nothing,0
alarm,alert,watch,remserv,reco,0
secu,preshouse,cosecu,remserv,nothing,0
refr,preshouse,coassis,locally,nothing,1
wash,opauto,coalarm,locally,insight,1
hvac,alert,cohvac,share,insight,0
wash,preshouse,cowash,share,reco,0
light,alert,locsens,locally,reco,1
refr,opauto,corefri,share,opti,0
tv,opauto,micro,remserv,insight,1
hvac,preshouse,micro,share,reco,0
alarm,preshouse,coalarm,remserv,nothing,0
refr,lochouse,corefri,locally,opti,0
wash,lochouse,watch,share,nothing,0
wash,alert,cowash,locally,reco,0
secu,preshouse,cosecu,locally,nothing,0
tv,alert,cotv,remserv,reco,0
assis,opauto,coassis,remserv,insight,0
refr,alert,cam,share,insight,0
light,lochouse,colight,remserv,opti,1
secu,opauto,locsens,share,opti,0
hvac,opauto,cohvac,locally,insight,0
alarm,preshouse,micro,locally,reco,0
wash,lochouse,cohvac,remserv,nothing,1
light,alert,cowash,share,opti,1
alarm,opauto,cotv,share,nothing,0
light,lochouse,coalarm,locally,nothing,1
assis,preshouse,colight,share,insight,1
secu,opauto,watch,remserv,opti,1
assis,opauto,locsens,locally,opti,0
refr,alert,cosecu,remserv,insight,0
tv,lochouse,coassis,share,reco,0
hvac,preshouse,corefri,remserv,reco,0
tv,alert,cam,locally,insight,0
wash,preshouse,watch,share,reco,0
tv,opauto,cotv,remserv,insight,1
wash,opauto,cowash,locally,insight,1
hvac,alert,micro,share,insight,0
hvac,lochouse,cohvac,locally,opti,1
alarm,alert,coalarm,remserv,reco,0
secu,preshouse,locsens,remserv,nothing,1
refr,preshouse,corefri,locally,nothing,1
refr,opauto,cam,share,opti,0
light,lochouse,cosecu,share,nothing,0
assis,lochouse,coassis,remserv,opti,1
light,alert,colight,locally,reco,0
alarm,alert,coassis,locally,reco,0
assis,lochouse,cowash,locally,opti,0
refr,opauto,coalarm,remserv,insight,0
alarm,lochouse,corefri,share,nothing,0
wash,preshouse,cam,remserv,nothing,0
light,preshouse,cohvac,locally,nothing,0
light,opauto,micro,share,opti,0
assis,alert,watch,share,insight,0
secu,lochouse,cotv,remserv,opti,0
hvac,alert,locsens,remserv,reco,0
tv,opauto,colight,locally,insight,0
tv,preshouse,cosecu,share,reco,0
hvac,preshouse,cam,remserv,nothing,0
assis,preshouse,cosecu,share,reco,0
light,alert,watch,share,insight,0
wash,preshouse,cohvac,locally,nothing,0
tv,alert,coassis,locally,reco,0
wash,opauto,micro,share,opti,0
light,lochouse,cowash,locally,opti,0
tv,lochouse,corefri,share,nothing,0
assis,opauto,colight,locally,insight,0
refr,alert,locsens,remserv,reco,0
secu,opauto,coalarm,remserv,insight,0
alarm,lochouse,cotv,remserv,opti,0
light,alert,watch,share,insight,0
assis,opauto,colight,locally,insight,1
tv,lochouse,corefri,share,nothing,0
secu,opauto,coalarm,remserv,insight,1
light,lochouse,cowash,locally,opti,1
