@relation scenarioYang_new-weka.filters.unsupervised.attribute.NumericToNominal-R5

@attribute sessionId numeric
@attribute userid numeric
@attribute cond numeric
@attribute senario numeric
@attribute decision {0,1}
@attribute comfort numeric
@attribute useful numeric
@attribute risk numeric
@attribute appropriate numeric
@attribute expected numeric
@attribute default numeric
@attribute framing numeric
@attribute ask.reason numeric
@attribute who numeric
@attribute what numeric
@attribute purpose numeric
@attribute collection numeric

@data
37,42560,851,102050,0,-3,-2,-2,-1,2,2,0,0,4,4,3,6
37,42560,851,102060,0,-3,-2,-3,-3,3,2,0,0,6,10,0,0
37,42560,851,102070,0,-3,1,-3,-3,3,2,0,0,6,6,2,8
37,42560,851,102080,0,-2,1,-3,-1,3,2,0,1,7,11,1,1
37,42560,851,102090,0,-3,0,-3,-2,3,2,0,1,5,5,0,7
37,42560,851,102100,0,-2,1,-3,-1,3,2,0,0,3,3,2,5
37,42560,851,102110,0,-3,2,-3,-2,2,2,0,0,7,7,3,9
37,42560,851,102120,0,-3,2,-1,1,3,2,0,0,1,1,3,3
38,10208,598,71650,1,2,2,3,2,2,1,1,0,2,2,0,5
38,10208,598,71660,1,2,2,3,2,1,1,1,1,4,4,2,7
38,10208,598,71670,1,2,3,2,2,2,1,1,1,7,7,2,10
38,10208,598,71680,1,2,3,3,3,3,1,1,0,0,8,3,11
38,10208,598,71690,1,-2,-1,-2,-2,-2,1,1,0,6,6,1,9
38,10208,598,71700,1,-1,1,-1,-1,-2,1,1,1,6,10,3,1
38,10208,598,71710,1,1,2,2,2,1,1,1,0,7,11,0,2
38,10208,598,71720,1,-1,1,-1,-2,-2,1,1,0,5,5,0,8
38,10208,598,71730,1,2,2,2,2,2,1,1,1,1,1,3,4
38,10208,598,71740,1,1,2,1,1,1,1,1,0,3,3,1,6
38,10208,598,71750,1,1,1,-1,1,-1,1,1,0,5,9,2,0
38,10208,598,71760,1,1,1,1,1,-1,1,1,0,0,0,1,3
40,38179,285,34090,0,-2,-1,-1,-1,0,0,2,1,2,11,1,3
40,38179,285,34100,0,-3,-3,-3,-3,3,0,2,1,0,5,1,9
40,38179,285,34110,0,-3,-3,-3,-3,-2,0,2,0,0,9,3,1
40,38179,285,34120,0,-1,-2,-3,-2,0,0,2,0,7,4,0,8
40,38179,285,34130,0,0,-1,0,0,0,0,2,0,1,10,0,2
40,38179,285,34140,0,0,-1,-1,-1,-1,0,2,0,4,1,0,5
40,38179,285,34150,0,-1,-1,-1,-1,1,0,2,0,2,7,3,11
40,38179,285,34160,0,-1,-1,-1,-1,-1,0,2,1,5,2,1,6
40,38179,285,34170,0,0,0,-1,0,0,0,2,0,6,3,2,7
40,38179,285,34180,0,-2,-2,-2,-2,0,0,2,0,1,6,2,10
40,38179,285,34190,0,-2,-2,0,-2,0,0,2,0,3,0,3,4
40,38179,285,34200,0,-2,-2,-2,-2,-2,0,2,1,7,8,2,0
41,27756,649,77770,0,-3,-3,-3,-3,1,1,2,0,7,9,1,9
41,27756,649,77780,0,-3,-3,-3,-3,1,1,2,0,6,0,2,0
41,27756,649,77790,0,-3,-3,-3,-3,1,1,2,0,1,3,1,3
41,27756,649,77800,0,-3,-3,-3,-3,2,1,2,0,4,6,1,6
41,27756,649,77810,0,-3,-3,-3,-3,1,1,2,0,0,10,2,10
41,27756,649,77820,0,-3,-3,-3,-3,1,1,2,0,5,7,2,7
41,27756,649,77830,0,-3,-3,-3,-3,1,1,2,0,2,4,3,4
41,27756,649,77840,0,-3,-3,-3,-3,1,1,2,1,6,8,0,8
41,27756,649,77850,0,-3,-3,-3,-3,1,1,2,1,0,2,0,2
41,27756,649,77860,0,-3,-3,-3,-3,1,1,2,1,1,11,3,11
41,27756,649,77870,0,-3,-3,-3,-3,1,1,2,1,3,5,0,5
41,27756,649,77880,0,-3,-3,-3,-3,1,1,2,0,7,1,3,1
43,81456,513,61450,1,2,1,1,1,1,1,1,0,3,9,2,1
43,81456,513,61460,1,0,1,1,1,0,1,1,0,1,3,1,7
43,81456,513,61470,0,0,-1,-1,-1,-1,1,1,0,6,0,2,4
43,81456,513,61480,1,2,1,1,1,1,1,1,0,5,11,0,3
43,81456,513,61490,0,0,-1,-1,-1,0,1,1,1,5,7,2,11
43,81456,513,61500,1,0,1,1,1,1,1,1,1,7,1,3,5
43,81456,513,61510,0,-1,-1,-1,0,0,1,1,0,0,2,0,6
43,81456,513,61520,1,1,1,2,1,1,1,1,0,2,8,1,0
43,81456,513,61530,1,1,0,0,1,1,1,1,1,2,4,3,8
43,81456,513,61540,0,-1,-1,-1,-1,0,1,1,0,4,6,1,10
43,81456,513,61550,1,0,1,1,1,1,1,1,0,3,5,0,9
43,81456,513,61560,1,1,1,1,1,1,1,1,1,4,10,3,2
44,66934,1081,129610,1,2,2,3,3,2,2,2,0,2,8,1,8
44,66934,1081,129620,1,2,2,3,2,2,2,2,0,0,6,2,6
44,66934,1081,129630,1,2,3,3,2,3,2,2,0,5,11,0,11
44,66934,1081,129640,1,2,3,3,2,1,2,2,1,4,10,3,10
44,66934,1081,129650,1,3,3,3,3,2,2,2,1,6,4,0,4
44,66934,1081,129660,1,2,1,2,1,2,2,2,0,5,3,2,3
