@relation '4Cluster-weka.filters.unsupervised.attribute.NumericToNominal-R2-9-weka.filters.unsupervised.attribute.Reorder-R1-7,9,8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute cluster {cluster2,cluster3,cluster0,cluster1}
@attribute decision {0,1}

@data
wash,lochouse,cowash,share,insight,cluster2,0
alarm,preshouse,watch,remserv,insight,cluster2,0
hvac,preshouse,cohvac,share,opti,cluster2,1
assis,lochouse,cam,locally,reco,cluster2,1
hvac,opauto,cotv,locally,nothing,cluster2,0
wash,alert,coalarm,locally,opti,cluster2,1
tv,alert,micro,remserv,opti,cluster2,1
assis,alert,coassis,share,nothing,cluster2,1
refr,opauto,corefri,remserv,nothing,cluster2,1
refr,lochouse,locsens,share,insight,cluster0,0
alarm,opauto,cotv,remserv,nothing,cluster0,0
wash,lochouse,cohvac,locally,reco,cluster0,1
refr,alert,cosecu,locally,opti,cluster0,1
hvac,preshouse,corefri,locally,insight,cluster0,1
tv,lochouse,coassis,remserv,reco,cluster0,0
wash,alert,micro,share,nothing,cluster0,0
secu,opauto,watch,locally,nothing,cluster0,1
light,alert,cowash,remserv,opti,cluster0,0
secu,preshouse,coalarm,share,opti,cluster0,0
assis,preshouse,colight,remserv,insight,cluster0,0
hvac,opauto,cam,share,reco,cluster0,0
alarm,lochouse,colight,remserv,nothing,cluster0,1
light,opauto,corefri,remserv,opti,cluster0,1
refr,preshouse,cotv,share,insight,cluster0,0
refr,opauto,micro,locally,opti,cluster0,1
hvac,alert,watch,locally,insight,cluster0,1
assis,alert,cohvac,remserv,insight,cluster0,0
wash,preshouse,cosecu,locally,reco,cluster0,0
secu,lochouse,cam,locally,nothing,cluster0,1
secu,alert,coassis,share,opti,cluster0,0
wash,opauto,locsens,share,nothing,cluster0,0
tv,preshouse,cowash,remserv,reco,cluster0,0
hvac,lochouse,coalarm,share,reco,cluster0,0
light,preshouse,watch,locally,insight,cluster2,0
wash,lochouse,cotv,share,insight,cluster2,0
assis,alert,locsens,share,nothing,cluster2,1
hvac,preshouse,coassis,share,opti,cluster2,1
wash,alert,micro,locally,opti,cluster2,1
alarm,preshouse,cohvac,remserv,insight,cluster2,1
assis,lochouse,cosecu,locally,reco,cluster2,1
hvac,opauto,cam,locally,nothing,cluster2,1
refr,opauto,colight,remserv,nothing,cluster2,1
light,opauto,coalarm,share,reco,cluster2,0
secu,lochouse,cowash,remserv,reco,cluster2,0
tv,alert,corefri,remserv,opti,cluster2,1
tv,alert,colight,remserv,reco,cluster3,1
