@relation 'iot_yang_fixed-weka.filters.unsupervised.attribute.Remove-R2-4,6-17-weka.filters.unsupervised.attribute.Reorder-R1,3-8,2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
wash,alert,cohvac,share,insight,1
hvac,preshouse,coassis,locally,nothing,1
refr,preshouse,cosecu,remserv,nothing,1
tv,lochouse,cam,remserv,opti,1
light,preshouse,cowash,share,reco,1
alarm,preshouse,corefri,share,nothing,1
refr,lochouse,coalarm,remserv,insight,1
light,alert,cohvac,locally,nothing,1
secu,preshouse,cotv,remserv,opti,1
tv,alert,cosecu,share,reco,0
alarm,opauto,coassis,locally,reco,1
assis,preshouse,cowash,locally,opti,1
hvac,opauto,locsens,remserv,reco,1
tv,lochouse,colight,locally,insight,1
assis,opauto,watch,share,insight,0
wash,alert,cam,remserv,nothing,0
light,lochouse,micro,share,opti,0
light,alert,locsens,remserv,insight,0
secu,opauto,colight,locally,opti,0
alarm,lochouse,cowash,locally,nothing,0
refr,alert,coassis,locally,insight,0
hvac,preshouse,cotv,locally,reco,0
assis,preshouse,cam,remserv,reco,0
alarm,alert,watch,share,opti,0
refr,lochouse,corefri,share,reco,0
tv,lochouse,micro,remserv,nothing,0
secu,preshouse,cosecu,share,insight,0
hvac,opauto,cohvac,share,nothing,0
wash,opauto,coalarm,remserv,opti,0
tv,lochouse,cowash,remserv,insight,0
hvac,opauto,coalarm,share,insight,1
alarm,opauto,colight,remserv,reco,1
assis,preshouse,cohvac,remserv,opti,1
wash,lochouse,cosecu,locally,insight,1
refr,alert,micro,locally,nothing,1
light,opauto,corefri,locally,reco,0
light,preshouse,cam,share,nothing,0
hvac,preshouse,watch,locally,opti,1
secu,alert,coassis,remserv,nothing,1
wash,alert,locsens,share,reco,0
refr,lochouse,cotv,share,opti,0
hvac,lochouse,micro,locally,opti,1
refr,opauto,coassis,share,opti,1
light,alert,cosecu,locally,reco,1
wash,opauto,watch,locally,insight,1
refr,preshouse,cam,locally,nothing,0
secu,preshouse,colight,remserv,nothing,1
light,lochouse,locsens,share,nothing,0
assis,lochouse,corefri,remserv,opti,0
tv,opauto,cohvac,remserv,insight,1
hvac,alert,cotv,share,insight,1
alarm,alert,cowash,remserv,reco,1
wash,preshouse,coalarm,share,reco,1
alarm,lochouse,cam,locally,nothing,1
secu,opauto,micro,locally,opti,1
wash,opauto,corefri,remserv,opti,0
light,alert,cohvac,remserv,insight,0
refr,lochouse,coalarm,share,reco,0
secu,preshouse,cotv,share,insight,0
hvac,preshouse,cosecu,locally,reco,0
tv,lochouse,colight,remserv,nothing,0
alarm,alert,coassis,share,opti,0
hvac,opauto,locsens,share,nothing,1
assis,preshouse,cowash,remserv,reco,1
refr,alert,watch,locally,insight,0
wash,lochouse,coalarm,share,insight,0
refr,opauto,coassis,remserv,nothing,0
assis,lochouse,corefri,locally,reco,1
secu,lochouse,colight,remserv,reco,0
assis,alert,cam,share,nothing,0
tv,alert,cohvac,remserv,opti,0
alarm,preshouse,cowash,remserv,insight,0
hvac,opauto,micro,locally,nothing,0
wash,alert,watch,locally,opti,0
hvac,preshouse,cotv,share,opti,0
light,preshouse,cosecu,locally,insight,1
light,opauto,locsens,share,reco,0
light,alert,locsens,locally,opti,0
assis,preshouse,cam,locally,insight,0
wash,preshouse,cowash,share,opti,0
wash,opauto,coalarm,locally,nothing,1
secu,preshouse,cosecu,remserv,insight,0
light,lochouse,colight,share,insight,0
