@relation 'Framing2-weka.filters.unsupervised.attribute.Remove-R1-4,6-17,20-weka.filters.unsupervised.attribute.Reorder-R2-6,1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute whof {tv,secu,light,refr,alarm,assis,wash,hvac}
@attribute purposef {opauto,preshouse,alert,lochouse}
@attribute whatf {cosecu,cohvac,micro,coalarm,cotv,corefri,watch,coassis,cam,cowash,colight,locsens}
@attribute cstore {share,remserv,locally}
@attribute caction {insight,nothing,opti,reco}
@attribute decision {0,1}

@data
wash,preshouse,watch,share,opti,1
alarm,alert,coalarm,remserv,opti,1
light,alert,colight,locally,opti,1
tv,lochouse,cotv,locally,reco,1
assis,opauto,corefri,share,reco,1
wash,opauto,cowash,locally,nothing,1
assis,preshouse,coassis,locally,insight,1
secu,preshouse,locsens,remserv,insight,1
wash,preshouse,colight,remserv,opti,1
hvac,opauto,cowash,locally,reco,1
assis,opauto,cotv,remserv,reco,1
hvac,preshouse,watch,share,nothing,1
tv,alert,coalarm,remserv,nothing,1
secu,opauto,cam,share,insight,0
refr,lochouse,cohvac,locally,insight,1
alarm,alert,cosecu,locally,nothing,1
light,lochouse,coassis,remserv,insight,1
alarm,lochouse,locsens,share,opti,0
refr,alert,micro,share,reco,0
secu,preshouse,corefri,locally,opti,0
secu,alert,coalarm,share,reco,0
tv,alert,cam,locally,nothing,0
refr,opauto,cosecu,locally,reco,1
secu,lochouse,watch,locally,insight,0
assis,alert,colight,remserv,nothing,0
refr,preshouse,locsens,share,nothing,0
hvac,preshouse,corefri,remserv,opti,0
alarm,preshouse,micro,locally,opti,0
alarm,opauto,cotv,share,insight,0
light,opauto,cowash,remserv,reco,0
tv,lochouse,coassis,share,opti,0
wash,lochouse,cohvac,remserv,insight,0
tv,lochouse,colight,locally,insight,1
refr,lochouse,coalarm,remserv,insight,0
wash,alert,cam,remserv,nothing,1
tv,alert,cosecu,share,reco,1
secu,preshouse,cotv,remserv,opti,1
assis,preshouse,cowash,locally,opti,1
light,lochouse,micro,share,opti,1
light,alert,cohvac,locally,nothing,1
alarm,opauto,coassis,locally,reco,1
hvac,opauto,locsens,remserv,reco,1
assis,opauto,watch,share,insight,0
alarm,preshouse,corefri,share,nothing,1
alarm,preshouse,locsens,locally,opti,0
secu,lochouse,cam,locally,insight,0
assis,alert,cohvac,remserv,nothing,1
light,opauto,corefri,remserv,reco,0
tv,lochouse,cowash,share,opti,0
tv,alert,coalarm,locally,nothing,0
secu,alert,coassis,share,reco,0
wash,lochouse,cosecu,remserv,insight,0
hvac,preshouse,watch,remserv,opti,0
refr,opauto,micro,locally,reco,0
refr,preshouse,cotv,share,nothing,0
alarm,opauto,colight,share,insight,0
assis,alert,cowash,locally,nothing,1
assis,lochouse,watch,share,opti,0
tv,preshouse,colight,locally,opti,1
tv,opauto,cosecu,share,insight,0
secu,preshouse,cohvac,share,nothing,0
alarm,lochouse,coassis,locally,insight,0
light,alert,micro,remserv,nothing,0
refr,preshouse,coalarm,remserv,opti,0
alarm,alert,corefri,share,reco,0
wash,opauto,cam,remserv,reco,0
secu,opauto,cotv,locally,reco,0
hvac,lochouse,locsens,remserv,insight,0
refr,alert,micro,remserv,nothing,0
wash,opauto,cosecu,share,insight,0
tv,preshouse,coalarm,remserv,opti,0
secu,opauto,cam,remserv,reco,0
light,alert,corefri,share,reco,0
alarm,lochouse,locsens,remserv,insight,0
light,lochouse,coassis,locally,insight,0
wash,preshouse,colight,locally,opti,0
hvac,alert,cowash,locally,nothing,0
hvac,lochouse,watch,share,opti,0
assis,preshouse,cohvac,share,nothing,0
assis,opauto,cotv,locally,reco,0
wash,opauto,cowash,remserv,reco,1
alarm,lochouse,watch,locally,insight,1
tv,opauto,cotv,share,insight,0
secu,preshouse,locsens,share,nothing,0
tv,preshouse,micro,locally,opti,1
assis,lochouse,coassis,share,opti,0
hvac,lochouse,cohvac,remserv,insight,1
assis,alert,cam,locally,nothing,1
secu,opauto,cosecu,locally,reco,1
refr,preshouse,corefri,remserv,opti,0
alarm,alert,coalarm,share,reco,0
light,alert,colight,remserv,nothing,0
light,lochouse,locsens,remserv,reco,1
hvac,alert,cotv,remserv,opti,0
secu,preshouse,colight,locally,insight,1
alarm,lochouse,watch,share,insight,0
refr,lochouse,coassis,locally,reco,0
secu,opauto,cosecu,share,reco,0
assis,opauto,cam,remserv,nothing,0
alarm,alert,cowash,locally,opti,0
tv,opauto,cohvac,locally,nothing,0
tv,preshouse,micro,share,opti,0
refr,alert,corefri,share,nothing,0
wash,preshouse,coalarm,remserv,insight,1
refr,lochouse,cowash,locally,insight,1
alarm,lochouse,cam,share,opti,1
alarm,alert,corefri,locally,nothing,1
assis,opauto,coalarm,remserv,reco,0
wash,preshouse,coassis,remserv,opti,0
secu,opauto,micro,share,insight,1
secu,preshouse,cohvac,locally,opti,1
tv,alert,locsens,remserv,nothing,0
